Date,Startup Name,Vertical,Sub Vertical,City,Investor,Round,Amount in Rs.,Month,Year
2017-05-31,sastasundar,ecommerce,online pharmacy,kolkata,rohto pharmaceutical,Private Equity,41.75,5.0,2017.0
2017-05-31,magicpin,consumer internet,hyperlocal discovery\\xc2\\xa0 & rewards platform,gurgaon,"lightspeed india partners, waterbridge ventures",Private Equity,58.45,5.0,2017.0
2017-04-01,cashe,consumer internet,online & mobile based lending platform,mumbai,"mathew cyriac, florintree advisors,",Private Equity,31.73,4.0,2017.0
2017-04-03,eruditus,education,executive education provider,mumbai,bertelsmann india,Private Equity,68.47,4.0,2017.0
2017-04-03,healthcare at home,healthcare,home healthcare provider,noida,quadria capital advisors,Private Equity,334.0,4.0,2017.0
2017-04-04,waycool,food & beverage,fresh-produce distribution platform,chennai,aspada investments,Private Equity,5.84,4.0,2017.0
2017-04-04,perfios,technology,fin-tech solutions,bangalore,bessemer venture partners,Private Equity,50.94,4.0,2017.0
2017-04-04,whatfix,technology,interactive tech-support guides,bangalore,"stellaris venture partners, helion venture partners, powerhouse ventures, gokul rajaram, girish mathrubootham, aneesh reddy, vispi daver",Private Equity,30.81,4.0,2017.0
2017-04-04,elastirun,technology,app based logistics & distribution platform,pune,"kalaari capital, norwest venture partners",Private Equity,58.45,4.0,2017.0
2017-04-04,trukky,consumer internet,online truck aggregator & booking platform,ahmedabad,"keyur joshi, pavan bakeri",Seed Funding,4.17,4.0,2017.0
2017-04-04,konsult app,consumer internet,app based doctor consulting platform,new delhi,"koen bouwers, lomesh agarwal, jeroen mensen, pablo van den bosch & others",Seed Funding,4.17,4.0,2017.0
2017-04-05,fingerlix,consumer internet,food delivery platform,mumbai,zephyr peacock india,Private Equity,25.05,4.0,2017.0
2017-04-06,medwell ventures,healthcare,home-based healthcare provider,bangalore,"mahindra partners, eight roads ventures, f-prime capital partners",Private Equity,8.35,4.0,2017.0
2017-04-06,mech mocha,consumer internet,mobile gaming startup,bangalore,"accel partners, shunwei capital",Private Equity,41.75,4.0,2017.0
2017-04-07,pharmeasy,ecommerce,online pharmacy,mumbai,"bessemer venture partners, orios venture partners, trifecta capital,",Private Equity,150.3,4.0,2017.0
2017-04-08,fastfox,consumer internet,online rental discovery platform,gurgaon,"lightspeed india partners, blume ventures, cyberagent ventures, growx ventures, imj investment partners",Private Equity,38.41,4.0,2017.0
2017-04-10,omnify,technology,saas platform for smes,bangalore,"rajan anandan, l.d sharma, saurabh arora",Seed Funding,1.25,4.0,2017.0
2017-04-10,capital float,consumer internet,online lending platform for sme,bangalore,mahindra and mahindra financial services,Private Equity,2.5,4.0,2017.0
2017-04-11,ninjacart,ecommerce,b2b agri-marketing platform,bangalore,"accel partners, nandan nilekani\\xe2\\x80\\x99s nrjn trust, mistletoe, qualcomm ventures, m&s partners",Private Equity,45.92,4.0,2017.0
2017-04-11,mergerware,technology,software solutions for m&as,bangalore,philippe bouchet,Seed Funding,0.83,4.0,2017.0
2017-04-12,clovia,ecommerce,online lingerie & sleepwear etailer,new delhi,"ivycap ventures advisors, singularity ventures and ravi dhariwal",Private Equity,33.4,4.0,2017.0
2017-04-12,emiza,logistics,third party logistics provider,mumbai,"mayfield, nishant rao, dileep nath",Private Equity,37.58,4.0,2017.0
2017-04-12,hackerearth,consumer internet,online skill assessment platform,bangalore,"dhi group inc, prime venture partners, beenext, beenos, digital garage, bizreach",Private Equity,37.58,4.0,2017.0
2017-04-12,squadrun,technology,software-as-a-service platform,noida,"blume ventures, contrarian capital, 91springboard, emergent ventures, abstract ventures, anthill ventures, axilor ventures",Private Equity,0.83,4.0,2017.0
2017-04-13,weareholidays,consumer internet,travel packages & planner marketplace,gurgaon,"urrshila kerkar,",Private Equity,64.3,4.0,2017.0
2017-04-14,ola cabs,consumer internet,cab aggregator app,bangalore,simi pacific pte,Private Equity,501.0,4.0,2017.0
2017-04-15,myly,consumer internet,mobile app for schools,jaipur,mall industries development bank of india (sidbi),Seed Funding,2.59,4.0,2017.0
2017-04-17,credihealth,consumer internet,online medical assistance platform,gurgaon,"tolaram inc, mountain pine capital",Private Equity,12.53,4.0,2017.0
2017-04-17,snackible,food & beverages,healthy snacks manufacturer,mumbai,"nibhrant shah, anandbir singh, anirudh sheth, pratik singhi, vikram mehta, murali nair",Seed Funding,1.46,4.0,2017.0
2017-04-17,be u salons,consumer internet,online salon discovery & booking services,new delhi,"gaurav kachru, sundeep singh sahni, jatin aneja, arun malhotra",Seed Funding,5.18,4.0,2017.0
2017-04-17,lendingkart,consumer internet,lending platform for small businesses,ahmedabad,anicut capital,Private Equity,38.83,4.0,2017.0
2017-04-18,whodat,technology,markerless ar platform,bangalore,ideaspring capital,Private Equity,5.01,4.0,2017.0
2017-04-18,absentia vr,technology,virtual reality startup,bangalore,exfinity venture partners,Private Equity,10.44,4.0,2017.0
2017-04-19,iotrek,technology,iot platform for bus,new delhi,undisclosed investor,Seed Funding,1.29,4.0,2017.0
2017-04-20,holachef,consumer internet,online food delivery,mumbai,"sidbi venture capital ltd, kalaari capital",Private Equity,25.05,4.0,2017.0
2017-04-21,video ken,consumer internet,video based collaborative learning,bangalore,"ravi garikipati, surot chatterjee, ashish agrawal, lg chandrasekhar, sashi reddi",Seed Funding,8.35,4.0,2017.0
2017-04-24,faasos,food & beverage,qsr chain and online food delivery,pune,"ligthbox ventures ii, lightbox expansion fund, sequoia capital india, runet south asia, rb investments",Private Equity,52.6,4.0,2017.0
2017-04-24,oyo rooms,consumer internet,branded budget hotels aggregator,gurgaon,"softbank vision fund, lightspeed venture partners, sequoia capital india advisors, greenoaks capital partners",Private Equity,417.5,4.0,2017.0
2017-04-24,toppr,consumer internet,learning mobile app for students,mumbai,wgg international,Private Equity,26.72,4.0,2017.0
2017-04-25,the office pass,consumer internet,coworking spaces booking platform,gurgaon,"arun tadanki, aditya verma",Seed Funding,0.38,4.0,2017.0
2017-04-25,urbanclap,consumer internet,mobile services marketplace,gurgaon,trifecta capital,Private Equity,25.89,4.0,2017.0
2017-04-26,flytxt,technology,customer data analytics software,mumbai,dah beteiligungs gmbh,Private Equity,91.85,4.0,2017.0
2017-04-26,howdy ventures,consumer internet,public and private events creation app,chennai,s. xavier britto,Seed Funding,12.53,4.0,2017.0
2017-04-26,stalkbuylove,ecommerce,online fashion marketplace,new delhi,trifecta capital,Private Equity,8.35,4.0,2017.0
2017-04-27,scootsy,consumer internet,on-demand food delivery,mumbai,"agnus capital, khattar holdings",Private Equity,30.06,4.0,2017.0
2017-04-27,inurture,consumer internet,online educational courses,bangalore,blacksoil capital pvt. ltd,Private Equity,12.53,4.0,2017.0
2017-04-28,sepalika,consumer internet,healthcare related content platform,new delhi,accel partners,Seed Funding,6.26,4.0,2017.0
2017-03-01,ola,consumer internet,app based cab aggregator,bangalore,softbank group corp,Private Equity,2755.5,3.0,2017.0
2017-03-01,belong,consumer internet,online jon portal,bangalore,sequoia capital india,Private Equity,83.5,3.0,2017.0
2017-03-02,celes care,consumer internet,women healthcare & information portal,hyderabad,"ventureast, endiya partners, eight roads ventures, f-prime capital partners",Private Equity,12.53,3.0,2017.0
2017-03-02,karomi,technology,packaging artwork management software,chennai,ideaspring capital,Seed Funding,4.17,3.0,2017.0
2017-03-02,red carpet,consumer internet,micro lending platform,gurgaon,lightspeed venture partners,Private Equity,4.17,3.0,2017.0
2017-03-02,creditmantri,consumer internet,online credit score & lending platform,chennai,quona capital,Private Equity,63.46,3.0,2017.0
2017-03-03,tydy,technology,employee onboarding and engagement platform,bangalore,"bhupen shah, jayesh parekh, sanjay sathe",Seed Funding,0.63,3.0,2017.0
2017-03-03,oho shop,technology,ecommerce mobile app builder,ahmedabad,"bennett, coleman and company ltd",Private Equity,55.95,3.0,2017.0
2017-03-04,igenetics,healthcare,health diagnostic solutions,mumbai,cdc group plc,Private Equity,162.82,3.0,2017.0
2017-03-06,juno clinic,consumer internet,online counseling platform,mumbai,atul nishar,Seed Funding,10.02,3.0,2017.0
2017-03-06,summerlabel,consumer internet,fashion and lifestyle discovery platform,gurgaon,"aneesh seth, tushar mittal",Seed Funding,1.25,3.0,2017.0
2017-03-06,pickme,consumer internet,gadget insurance & repair services platform,mumbai,sidbi venture capital fund,Private Equity,14.95,3.0,2017.0
2017-03-07,agrostar,technology,direct-to-farmer mobile-based retail platform,pune,accel partners,Private Equity,83.5,3.0,2017.0
2017-03-07,zapr,technology,"dsp, tv analytics & cross-platform advertising",bangalore,star india pvt ltd,Private Equity,83.5,3.0,2017.0
2017-03-07,data resolve,technology,cyber security solutions,noida,idfc parampara early stage opportunities fund,Private Equity,8.35,3.0,2017.0
2017-03-07,book servicing,consumer internet,online vehicle services booking platform,new delhi,national science and technology entrepreneurship development board,Seed Funding,0.25,3.0,2017.0
2017-03-07,blowhorn,consumer internet,intra-city logistics provider,bangalore,"idg ventures india, michael & susan dell foundation, draper associates, unitus seed fund",Private Equity,30.48,3.0,2017.0
2017-03-08,rivigo,logistics,technology enabled logistics company,gurgaon,private sector banks (debt funding),Private Equity,125.25,3.0,2017.0
2017-03-08,pipecandy,technology,intelligent sales prospecting platform,chennai,"idg ventures, axilor ventures, emergent ventures, indian angel network",Seed Funding,9.19,3.0,2017.0
2017-03-08,supr daily,consumer internet,subscription based home delivery platform,mumbai,y combinator,Seed Funding,1.0,3.0,2017.0
2017-03-09,appbrowzer,consumer internet,instant mobile apps store,bangalore,deepak gurnani,Seed Funding,4.17,3.0,2017.0
2017-03-09,magicbricks,consumer internet,online real estate portal,mumbai,times internet ltd,Private Equity,37.58,3.0,2017.0
2017-03-10,peebuddy,healthcare,female hygiene product manufacturer,new delhi,indian angel network,Seed Funding,3.7,3.0,2017.0
2017-03-10,lavelle networks,technology,sdn solutions,bangalore,ideaspring capital,Seed Funding,5.01,3.0,2017.0
2017-03-15,latestone,ecommerce,tech accessories e-tailer,hyderabad,"florintree, mathew cyriac, chidambaram palaniappan, bharat sheth",Private Equity,27.97,3.0,2017.0
2017-03-15,frapperz,consumer internet,on-demand home services provider,kolkata,undisclosed investor,Seed Funding,0.83,3.0,2017.0
2017-03-16,mpaani,consumer internet,loyalty rewards app,mumbai,"idg ventures, blume ventures, saha fund,",Private Equity,11.27,3.0,2017.0
2017-03-16,popxo,consumer internet,digital media publication for women,new delhi,"gree ventures, kalaari capital and idg ventures india, summit media, atul goel, and gurpreet singh",Private Equity,25.89,3.0,2017.0
2017-03-21,flipkart,ecommerce,ecommerce marketplace,bangalore,"microsoft, ebay, tencent holdings",Private Equity,11690.0,3.0,2017.0
2017-03-21,airpay,technology,online payment gateway,mumbai,"kalaari capital, rakesh and rajesh jhunjhunwala",Private Equity,30.64,3.0,2017.0
2017-03-21,myglamm,consumer internet,on-demand beauty services,mumbai,l\\xe2\\x80\\x99occitane,Private Equity,44.26,3.0,2017.0
2017-03-22,haqdarshak,consumer internet,tech-enabled social enterprise,bangalore,"ravi saxena, sandeep raju,",Seed Funding,1.59,3.0,2017.0
2017-03-23,ixigo,consumer internet,online travel search engine,gurgaon,"sequoia capital, kinzon capital",Private Equity,125.25,3.0,2017.0
2017-03-23,markets and markets,technology,marketing research company,pune,"ftv capital, zodius capital",Private Equity,467.6,3.0,2017.0
2017-03-24,bizom,technology,supply chain automation platform,bangalore,ojas ventures,Seed Funding,3.19,3.0,2017.0
2017-03-24,delhivery,technology,tech enabled fulfilment & logistics solutions,new delhi,"carlyle group, tiger global",Private Equity,835.0,3.0,2017.0
2017-03-28,fynd,ecommerce,online fashion marketplace,mumbai,venture catalysts,Private Equity,4.17,3.0,2017.0
2017-03-28,donething,consumer internet,on-demand personal assistant service,gurgaon,brand capital,Private Equity,2.5,3.0,2017.0
2017-03-29,ithaka,consumer internet,vacation trip planning platform,mumbai,"ankit gupta, puneet motihar",Seed Funding,2.71,3.0,2017.0
2017-03-29,perpule,ecommerce,self-checkout ecommerce app,bangalore,kstart capital,Seed Funding,5.43,3.0,2017.0
2017-03-29,licious,ecommerce,online meat ordering platform,bangalore,"mayfield india, 3one4 capital, sistema asia fund, neoplux technology fund",Private Equity,83.5,3.0,2017.0
2017-03-29,medinfi,consumer internet,doctor & hospital search platform,bangalore,"vinod martin, hemant kaul, prof. ram kumar kakani & others",Seed Funding,0.42,3.0,2017.0
2017-03-31,jhakaas,consumer internet,offline business aggregator app,mumbai,"malini patel, stelcore management services, anjani prasad",Seed Funding,1.29,3.0,2017.0
2017-03-31,oriano solar,technology,turnkey solar solutions,mumbai,samridhi fund,Private Equity,25.05,3.0,2017.0
2017-03-31,bigbasket,ecommerce,online grocer,bangalore,trifecta capital,Private Equity,58.45,3.0,2017.0
2017-03-31,icertis,technology,erp solutions provider,pune,"b capital group, ignition partners, greycroft, e.ventures,\\xc2\\xa0 eight roads ventures",Private Equity,41.75,3.0,2017.0
2017-02-06,capital float,consumer internet,online lending platform,bangalore,ifmr capital finance,Private Equity,4.17,2.0,2017.0
2017-02-07,inner hour,consumer internet,online counselling platform,mumbai,"batlivala & karani securities, venture works",Seed Funding,3.76,2.0,2017.0
2017-02-07,travel triangle,consumer internet,online travel agent marketplace,noida,"rb investments, saif partners, bessemer venture partners",Private Equity,83.5,2.0,2017.0
2017-02-08,wandertrails,consumer internet,"online travel, adventure & activities portal",bangalore,earlsfield capital,Seed Funding,8.35,2.0,2017.0
2017-02-08,zenatix,technology,iot based energy monitoring & control,gurgaon,"pi ventures, blume ventures",Private Equity,10.02,2.0,2017.0
2017-02-08,cartrade,consumer internet,automobile classifieds portal,mumbai,temasek holdings,Private Equity,459.25,2.0,2017.0
2017-02-08,edurev,consumer internet,online education portal,gurgaon,facebook fb start programme,Seed Funding,0.33,2.0,2017.0
2017-02-09,voonik,ecommerce,women apparel & lifestyle etailer,bangalore,"rb investments, sequoia capital",Private Equity,50.1,2.0,2017.0
2017-02-09,wooplr,ecommerce,women fashion portal,bangalore,"sistema asia fund, amereus group, helion ventures",Private Equity,66.8,2.0,2017.0
2017-02-10,48east,ecommerce,online food delivery platform,bangalore,al dhaheri family,Private Equity,4.17,2.0,2017.0
